account_id,firstname,surname,email,wallet,password
1,Richard,Tanoto,richard.tanoto@yahoo.com,140000,ritan1
2,Juan,Patrick,juan.patrick@yahoo.com,200000,jupat1
3,Samuel,Nathaniel,samuel.nathaniel@yahoo.com,400000,samnath1
4,Ronald,Grant,ronald.grant@yahoo.com,500000,rogrant1
5,Richard,Patrick,richard.patrick@yahoo.com,430000,ripat1
6,Juan,Nathaniel,juan.nathaniel@yahoo.com,50000,junath1
7,Samuel,Grant,samuel.grant@yahoo.com,250000,samgrant1
8,Ronald,Tanoto,ronald.tanoto@yahoo.com,450000,rotan1
9,Richard,Nathaniel,richard.nathaniel@yahoo.com,1000000,rinath1
10,Juan,Grant,juan.grant@yahoo.com,85000,jugrant1
11,Samuel,Tanoto,samuel.tanoto@yahoo.com,275000,samtan1
12,Ronald,Patrick,ronald.patrick@yahoo.com,650000,ropat1
